cluster	owner	file	n_lazy
009	Bridge_52	com/moonsworth/lunar/bridge/Bridge_52.java	18
009	Bridge_53	com/moonsworth/lunar/bridge/Bridge_53.java	35
009	Bridge_56	com/moonsworth/lunar/bridge/Bridge_56.java	116
009	Bridge_57	com/moonsworth/lunar/bridge/Bridge_57.java	18
009	Bridge_58	com/moonsworth/lunar/bridge/Bridge_58.java	13
009	Bridge_61	com/moonsworth/lunar/bridge/Bridge_61.java	4
009	Bridge_63	com/moonsworth/lunar/bridge/Bridge_63.java	1
010	Bridge_64	com/moonsworth/lunar/bridge/Bridge_64.java	2
010	Bridge_65	com/moonsworth/lunar/bridge/Bridge_65.java	5
010	Bridge_66	com/moonsworth/lunar/bridge/Bridge_66.java	3
010	Bridge_68	com/moonsworth/lunar/bridge/Bridge_68.java	9
010	Bridge_69	com/moonsworth/lunar/bridge/Bridge_69.java	7
010	Bridge_7	com/moonsworth/lunar/bridge/Bridge_7.java	3
010	Bridge_8	com/moonsworth/lunar/bridge/Bridge_8.java	27
010	Bridge_9	com/moonsworth/lunar/bridge/Bridge_9.java	2
010	BufferBuilderBridge	com/moonsworth/lunar/bridge/BufferBuilderBridge.java	61
010	BufferUsage	com/moonsworth/lunar/bridge/BufferUsage.java	1
010	BufferUsageHint	com/moonsworth/lunar/bridge/BufferUsageHint.java	1
010	BufferedImageBridge	com/moonsworth/lunar/bridge/BufferedImageBridge.java	8
010	BytecodeEmitter	com/moonsworth/lunar/bridge/BytecodeEmitter.java	1
010	CameraBridge	com/moonsworth/lunar/bridge/CameraBridge.java	1
010	ChainEmitter	com/moonsworth/lunar/bridge/ChainEmitter.java	14
010	CharacterBoxingCoercion	com/moonsworth/lunar/bridge/CharacterBoxingCoercion.java	9
010	CharacterCoercion	com/moonsworth/lunar/bridge/CharacterCoercion.java	2
010	ChatLineBridge	com/moonsworth/lunar/bridge/ChatLineBridge.java	2
010	ChunkDataPacketBridge	com/moonsworth/lunar/bridge/ChunkDataPacketBridge.java	1
010	ClickableTextExtension	com/moonsworth/lunar/bridge/ClickableTextExtension.java	2
010	ClientPacketListenerBridge	com/moonsworth/lunar/bridge/ClientPacketListenerBridge.java	4
010	ClothCloakState	com/moonsworth/lunar/bridge/ClothCloakState.java	10
010	ComponentAdapterBridge	com/moonsworth/lunar/bridge/ComponentAdapterBridge.java	1
010	CompositeEmitter	com/moonsworth/lunar/bridge/CompositeEmitter.java	5
010	CompoundTagBridge	com/moonsworth/lunar/bridge/CompoundTagBridge.java	17
011	ComputeProgramBridge	com/moonsworth/lunar/bridge/ComputeProgramBridge.java	11
011	ConnectionProtocol	com/moonsworth/lunar/bridge/ConnectionProtocol.java	0
011	ContainerClickType	com/moonsworth/lunar/bridge/ContainerClickType.java	2
011	ContainerRepairBridge	com/moonsworth/lunar/bridge/ContainerRepairBridge.java	2
011	CullingFrustumBridge	com/moonsworth/lunar/bridge/CullingFrustumBridge.java	1
011	CustomBufferSourceProvider	com/moonsworth/lunar/bridge/CustomBufferSourceProvider.java	1
011	DataComponentContainerBridge	com/moonsworth/lunar/bridge/DataComponentContainerBridge.java	1
011	DataComponentTypes	com/moonsworth/lunar/bridge/DataComponentTypes.java	57
011	DataWatcherBridge	com/moonsworth/lunar/bridge/DataWatcherBridge.java	2
011	DecodedTextureDataBridge	com/moonsworth/lunar/bridge/DecodedTextureDataBridge.java	30
011	DelegatingComponentBridge	com/moonsworth/lunar/bridge/DelegatingComponentBridge.java	13
011	DelegatingGlStateManagerBridge	com/moonsworth/lunar/bridge/DelegatingGlStateManagerBridge.java	43
011	DepthComparison	com/moonsworth/lunar/bridge/DepthComparison.java	1
011	DirectBufferImageBridge	com/moonsworth/lunar/bridge/DirectBufferImageBridge.java	19
011	DirectImageBridge	com/moonsworth/lunar/bridge/DirectImageBridge.java	16
011	DisplayListBridge	com/moonsworth/lunar/bridge/DisplayListBridge.java	1
011	DrawBufferBridge	com/moonsworth/lunar/bridge/DrawBufferBridge.java	73
011	DrawMode	com/moonsworth/lunar/bridge/DrawMode.java	5
011	EffectPacketBridge	com/moonsworth/lunar/bridge/EffectPacketBridge.java	3
011	EmissiveMetadataSectionBridge	com/moonsworth/lunar/bridge/EmissiveMetadataSectionBridge.java	2
011	EntityCreeperBridge	com/moonsworth/lunar/bridge/EntityCreeperBridge.java	4
011	EntityHeadLookPacketBridge	com/moonsworth/lunar/bridge/EntityHeadLookPacketBridge.java	1
011	EntityHeadLookPacketTranslator	com/moonsworth/lunar/bridge/EntityHeadLookPacketTranslator.java	2
011	EntityLightningBoltBridge	com/moonsworth/lunar/bridge/EntityLightningBoltBridge.java	1
011	EntityListBridge	com/moonsworth/lunar/bridge/EntityListBridge.java	7
012	EntityLivingBridge	com/moonsworth/lunar/bridge/EntityLivingBridge.java	7
012	EntityLivingStateBridge	com/moonsworth/lunar/bridge/EntityLivingStateBridge.java	1
012	EntityModelBridge	com/moonsworth/lunar/bridge/EntityModelBridge.java	10
012	EntityPlayerBridge	com/moonsworth/lunar/bridge/EntityPlayerBridge.java	5
012	EntityPlayerPacketBuilder	com/moonsworth/lunar/bridge/EntityPlayerPacketBuilder.java	1
012	EntityPlayerPacketFactory	com/moonsworth/lunar/bridge/EntityPlayerPacketFactory.java	2
012	EntityRegistryBridge	com/moonsworth/lunar/bridge/EntityRegistryBridge.java	1
012	EntityRenderDispatcherBridge	com/moonsworth/lunar/bridge/EntityRenderDispatcherBridge.java	16
012	EntityRenderStateBridge	com/moonsworth/lunar/bridge/EntityRenderStateBridge.java	1
012	EntityTNTPrimedBridge	com/moonsworth/lunar/bridge/EntityTNTPrimedBridge.java	3
012	FakeTickBridge	com/moonsworth/lunar/bridge/FakeTickBridge.java	1
012	FieldGetEmitter	com/moonsworth/lunar/bridge/FieldGetEmitter.java	10
012	FieldReadEmitter	com/moonsworth/lunar/bridge/FieldReadEmitter.java	18
012	FieldSetEmitter	com/moonsworth/lunar/bridge/FieldSetEmitter.java	12
012	FieldWriteEmitter	com/moonsworth/lunar/bridge/FieldWriteEmitter.java	16
012	FluentTessellatorBridge	com/moonsworth/lunar/bridge/FluentTessellatorBridge.java	30
012	GLSyncBridge	com/moonsworth/lunar/bridge/GLSyncBridge.java	9
012	GameOptionsBridge	com/moonsworth/lunar/bridge/GameOptionsBridge.java	21
012	GameRendererBridge	com/moonsworth/lunar/bridge/GameRendererBridge.java	3
012	GlFenceSyncBridge	com/moonsworth/lunar/bridge/GlFenceSyncBridge.java	9
012	GlStateMutatorBridge	com/moonsworth/lunar/bridge/GlStateMutatorBridge.java	33
012	GlStateQueryBridge	com/moonsworth/lunar/bridge/GlStateQueryBridge.java	9
012	GlyphAtlasEntry	com/moonsworth/lunar/bridge/GlyphAtlasEntry.java	9
012	GroupingEmitter	com/moonsworth/lunar/bridge/GroupingEmitter.java	32
012	GuiAchievementBridge	com/moonsworth/lunar/bridge/GuiAchievementBridge.java	1
013	GuiAchievementsBridge	com/moonsworth/lunar/bridge/GuiAchievementsBridge.java	1
013	GuiBridge	com/moonsworth/lunar/bridge/GuiBridge.java	1
013	GuiConfirmOpenLinkBridge	com/moonsworth/lunar/bridge/GuiConfirmOpenLinkBridge.java	1
013	GuiContainerBridge	com/moonsworth/lunar/bridge/GuiContainerBridge.java	8
013	GuiControlsBridge	com/moonsworth/lunar/bridge/GuiControlsBridge.java	1
013	GuiEditSignBridge	com/moonsworth/lunar/bridge/GuiEditSignBridge.java	2
013	GuiErrorScreenBridge	com/moonsworth/lunar/bridge/GuiErrorScreenBridge.java	1
013	GuiIngameBridge	com/moonsworth/lunar/bridge/GuiIngameBridge.java	4
013	GuiIngameMenuBridge	com/moonsworth/lunar/bridge/GuiIngameMenuBridge.java	1
013	GuiLanguageBridge	com/moonsworth/lunar/bridge/GuiLanguageBridge.java	1
013	GuiMainMenuBridge	com/moonsworth/lunar/bridge/GuiMainMenuBridge.java	1
013	GuiMultiplayerBridge	com/moonsworth/lunar/bridge/GuiMultiplayerBridge.java	1
013	GuiNewChatBridge	com/moonsworth/lunar/bridge/GuiNewChatBridge.java	8
013	GuiOptionsBridge	com/moonsworth/lunar/bridge/GuiOptionsBridge.java	1
013	GuiScreenBookBridge	com/moonsworth/lunar/bridge/GuiScreenBookBridge.java	2
013	GuiScreenBridge	com/moonsworth/lunar/bridge/GuiScreenBridge.java	31
013	GuiScreenResourcePacksBridge	com/moonsworth/lunar/bridge/GuiScreenResourcePacksBridge.java	1
013	GuiSelectWorldBridge	com/moonsworth/lunar/bridge/GuiSelectWorldBridge.java	1
013	GuiYesNoBridge	com/moonsworth/lunar/bridge/GuiYesNoBridge.java	2
013	HeldItemChangePacketBridge	com/moonsworth/lunar/bridge/HeldItemChangePacketBridge.java	1
013	IResourceBridge	com/moonsworth/lunar/bridge/IResourceBridge.java	1
013	IResourcePackBridge	com/moonsworth/lunar/bridge/IResourcePackBridge.java	2
013	InputConstants	com/moonsworth/lunar/bridge/InputConstants.java	4
013	InterpolatedCameraBridge	com/moonsworth/lunar/bridge/InterpolatedCameraBridge.java	7
013	InterpolatedValueProvider	com/moonsworth/lunar/bridge/InterpolatedValueProvider.java	1
014	InventoryBridge	com/moonsworth/lunar/bridge/InventoryBridge.java	2
014	InvocationEmitter	com/moonsworth/lunar/bridge/InvocationEmitter.java	4
014	ItemBridge	com/moonsworth/lunar/bridge/ItemBridge.java	2
014	ItemCameraTransformsBridge	com/moonsworth/lunar/bridge/ItemCameraTransformsBridge.java	1
014	ItemDataComponentTypes	com/moonsworth/lunar/bridge/ItemDataComponentTypes.java	57
014	ItemEntityRendererBridge	com/moonsworth/lunar/bridge/ItemEntityRendererBridge.java	8
014	ItemFrameEntityBridge	com/moonsworth/lunar/bridge/ItemFrameEntityBridge.java	2
014	ItemStackBridge	com/moonsworth/lunar/bridge/ItemStackBridge.java	30
014	Itemcounter4Extension	com/moonsworth/lunar/bridge/Itemcounter4Extension.java	28
014	Itemcounter6Extension	com/moonsworth/lunar/bridge/Itemcounter6Extension.java	8
014	ItemsBridge	com/moonsworth/lunar/bridge/ItemsBridge.java	101
014	JsonToNBTBridge	com/moonsworth/lunar/bridge/JsonToNBTBridge.java	2
014	KeyBindingBridge	com/moonsworth/lunar/bridge/KeyBindingBridge.java	3
014	KeyCode	com/moonsworth/lunar/bridge/KeyCode.java	9
014	KeyEventBridge	com/moonsworth/lunar/bridge/KeyEventBridge.java	3
014	KeyboardBridge	com/moonsworth/lunar/bridge/KeyboardBridge.java	11
