package	n_classes	n_lazy	sample
com.moonsworth.lunar.client.framework.feature.heightlimit	6	3	Data,Data2,Data3,HeightLimitRenderer,HeightLimitState,HeightLimitVariant
com.moonsworth.lunar.client.framework.feature.hypixelbedwars	1	0	TitlesHandler
com.moonsworth.lunar.client.framework.feature.hypixelbedwars.bedwars	2	0	Bedwars,BedwarsUpdater,Data,Type
com.moonsworth.lunar.client.framework.feature.hypixelbedwars.mixin	4	1	BedwarsBedModelFactory,BedwarsTeamColorMapper,Hypixelbedwars,Hypixelbedwars2
com.moonsworth.lunar.client.framework.feature.inventorymod	2	0	InventorySlotUtils,Inventorymod
com.moonsworth.lunar.client.framework.feature.inventorymod.mixin	2	1	Extension,GuiRewindhandlersHandler2,InventoryScreenPreserver
com.moonsworth.lunar.client.framework.feature.inventorymod.slot.inventorysearch	3	1	Gui2Extension,InventorySearchOverlay,ModuleBase2
com.moonsworth.lunar.client.framework.feature.itemcounter	10	4	DamagedItemEntry,ItemCounterEntry,ItemCounterRenderer,ItemCounterTextSide,Itemcounter,Itemcounter2
com.moonsworth.lunar.client.framework.feature.itemcounter.mixin	2	0	BlockVariantAliases,Data,Itemcounter
com.moonsworth.lunar.client.framework.feature.itemphysics.mixin	1	0	Itemphysics
com.moonsworth.lunar.client.framework.feature.itemtracker	2	0	Data,ItemTrackerData,Itemtracker
com.moonsworth.lunar.client.framework.feature.keystrokes	62	23	CircularFillKeystrokeRenderer,CollapseKeystrokeRenderer,CrossCollapseKeystrokeRenderer,CrossGrowKeystrokeRenderer,Data4,DefaultKeystrokeKey
com.moonsworth.lunar.client.framework.feature.keystrokes.mixin	2	1	Framework7Extension2,Keystrokes
com.moonsworth.lunar.client.framework.feature.killsounds	10	0	ChatPatternKillMessageParser,DeathMessageKillParser,KillEvent,KillMessageParser,KillSoundFilter,KillSoundSettings
com.moonsworth.lunar.client.framework.feature.killsounds.mixin	6	3	Killsounds,Killsounds2,Killsounds3,Killsounds4,Killsounds4Loader,Killsounds4Loader2
com.moonsworth.lunar.client.framework.feature.knockbacktrainer	2	0	KnockbackEvent,KnockbackTrainerThread
com.moonsworth.lunar.client.framework.feature.knockbacktrainer.mixin	1	0	Knockbacktrainer
com.moonsworth.lunar.client.framework.feature.lightoverlay	8	4	Data,Data2,Extension,LightOverlayBoxRenderer,LightOverlayCrossRenderer,LightOverlayRenderer
com.moonsworth.lunar.client.framework.feature.markers	67	19	BannerIconMapping,BlockVariantIconMapping,BoatIconMapping,Data,Data2,DyeColorIconMapping
com.moonsworth.lunar.client.framework.feature.markers.mixin	4	2	Gui2Extension,Markers,Markers2,Markers3
com.moonsworth.lunar.client.framework.feature.menublur	2	0	ColorsaturationExtension,MenuBlurShader
com.moonsworth.lunar.client.framework.feature.minimap	25	7	Data,EntityMinimapLayer,Minimap,Minimap2,Minimap2Impl,Minimap2Impl2
com.moonsworth.lunar.client.framework.feature.minimap.mixin	8	3	BoneTransform,ChunkColorMap,MapCoord,Minimap,Minimap2,Minimap3
com.moonsworth.lunar.client.framework.feature.mobsize.mixin	2	0	TessellatorRenderer,WorldRenderer
