count	file	class	tokens
237	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer3.java	Glintcolorizer3	field,flag,method,number,obj,text
237	com/moonsworth/lunar/client/framework/feature/rewind/RewindIterator.java	RewindIterator	field,flag,method,number,text,value
235	com/moonsworth/lunar/forge/lib/guava/io/BaseEncoding.java	BaseEncoding	number,obj,text
234	com/moonsworth/lunar/forge/lib/InputStreamLoader3_2.java	InputStreamLoader3_2	field,method,number
233	com/moonsworth/lunar/client/framework/feature/mod/Module.java	Module	field,method,obj,text
232	com/moonsworth/lunar/client/mod/render/Fov.java	Fov	arg,field,flag,method,number,value
231	com/moonsworth/lunar/client/inactive/mixin/holograms/Holograms2Iterator.java	Holograms2Iterator	arg,field,flag,method,number,text,value
230	com/moonsworth/lunar/forge/lib/guava/collect/MinMaxPriorityQueue.java	MinMaxPriorityQueue	flag,number,obj,value
230	com/moonsworth/lunar/client/framework/feature/mod/gui/Bridge7Iterator.java	Bridge7Iterator	arg,field,flag,method,number,value
229	com/moonsworth/lunar/forge/lib/MixinExtra12.java	MixinExtra12	field,method,number,text
228	com/moonsworth/lunar/client/util/chest/SImpl.java	SImpl	arg,field,method,value
226	com/moonsworth/lunar/forge/lib/MixinHelper92.java	MixinHelper92	field,method,number,obj
226	com/moonsworth/lunar/client/mod/hud/PingHud.java	PingHud	field,flag,method,number,text,value
225	com/moonsworth/lunar/client/mod/hud/SkyblockSkillXpTrackerHud.java	SkyblockSkillXpTrackerHud	field,flag,method,number,text,value
225	com/moonsworth/lunar/client/mod/hud/Bossbar.java	Bossbar	arg,field,flag,method,number,text,value
225	com/moonsworth/lunar/client/guiRewindhandlers/mixin/GuiRewindhandlers6.java	GuiRewindhandlers6	arg,field,flag,method,number,text
224	com/moonsworth/lunar/forge/lib/CloseableIterator_2.java	CloseableIterator_2	field,flag,method,number,text
224	com/moonsworth/lunar/client/memory/Memory.java	Memory	field,flag,method,number,text,value
224	com/moonsworth/lunar/client/highlight/LunarEventBus.java	LunarEventBus	field,flag,method,number,obj,value
223	com/moonsworth/lunar/forge/lib/InputStreamBase_2.java	InputStreamBase_2	field,flag,method,number,text
223	com/moonsworth/lunar/client/mod/misc/SkyblockDebugGraphs.java	SkyblockDebugGraphs	arg,field,flag,method,number,text,value
223	com/moonsworth/lunar/client/killsounds/mixin/Killsounds.java	Killsounds	field,method,number,text
223	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing3.java	Fishing3	field,flag,method,number,obj,text
222	com/moonsworth/lunar/client/framework/feature/armorstatus/nameplate/Nameplate.java	Nameplate	arg,field,flag,method,number,text,value
221	com/moonsworth/lunar/forge/lib/OutputStreamSerializer_5.java	OutputStreamSerializer_5	field,flag,method,number,text
221	com/moonsworth/lunar/client/util/ThreadModuleDump47.java	ThreadModuleDump47	field,flag,method,number,value
221	com/moonsworth/lunar/client/mod/misc/ShaderDebugMod.java	ShaderDebugMod	arg,field,flag,method,number
220	com/moonsworth/lunar/client/mod/hud/Ping.java	Ping	arg,field,flag,method,number,text,value
219	com/moonsworth/lunar/client/framework/feature/mod/MixinHelper28.java	MixinHelper28	arg,field,flag,method,number,text,value
217	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/rewindhandlersCore/RewindHandlers3Handler.java	RewindHandlers3Handler	field,flag,method,number,text,value
217	com/moonsworth/lunar/client/framework/feature/mod/fishing/gui/Gui3.java	Gui3	field,method,number,text
216	com/moonsworth/lunar/bridge/BridgeHandler.java	BridgeHandler	field,method,number,value
215	com/moonsworth/lunar/client/framework/feature/f3display/mixin/F3display.java	F3display	field,flag,method,number,text,value
214	com/moonsworth/lunar/client/mod/render/SkyblockEggLocator.java	SkyblockEggLocator	field,flag,method,text,value
